,Kilometers_Driven,Car_Age,Mileage,Engine_CC,Power_bhp,Price
403,53000,12,14.0,1061.0,64.0,2.75
716,54250,8,22.74,796.0,47.3,3.51
889,51530,10,18.9,998.0,67.1,3.2
979,51000,11,20.51,998.0,67.04,3.1
1160,50003,9,21.4,1197.0,83.1,5.45
1478,51000,10,20.92,998.0,67.1,2.65
2137,52618,13,18.9,998.0,67.1,3.2
2245,55000,10,21.5,1197.0,81.8,3.1
2252,52950,10,14.0,796.0,35.0,2.35
2391,51950,9,20.73,1373.0,91.1,6.75
2399,52000,17,16.1,1298.0,88.2,2.41
2805,55000,11,18.6,1197.0,85.8,4.2
3035,53001,16,16.1,1298.0,88.2,1.95
3181,52000,11,22.5,998.0,67.04,3.45
3223,51366,17,19.0,998.0,66.1,2.25
3605,50000,10,22.74,796.0,47.3,2.75
3623,52195,18,19.7,796.0,46.3,1.75
3698,51800,13,15.5,1586.0,103.3,3.9
3828,50230,10,18.9,998.0,67.1,3.87
4010,53766,14,19.0,998.0,66.1,2.7
4026,51264,9,24.07,998.0,67.1,3.2
4109,51579,10,20.73,1373.0,91.1,5.95
4221,51349,11,24.07,998.0,67.1,2.93
4413,51639,9,22.74,796.0,47.3,3.04
4664,53080,14,18.6,1197.0,85.8,4.4
4781,52195,18,19.7,796.0,46.3,1.75
4840,54000,17,19.7,796.0,46.3,1.1
4880,52431,11,22.5,998.0,67.04,3.01
5061,55000,12,17.5,1298.0,85.8,4.25
5106,50318,14,18.5,1197.0,85.8,4.06
5165,52000,12,18.6,1197.0,85.8,3.95
5192,50121,17,20.4,1197.0,83.11,3.41
5327,50000,13,17.5,1298.0,85.8,3.0
5773,52000,14,15.5,1586.0,103.3,2.6
5824,52000,13,18.9,998.0,67.1,2.45
5888,52000,11,20.92,998.0,67.1,2.7
6054,51000,10,19.1,1197.0,85.8,3.2525
6117,51599,14,19.0,998.0,67.1,3.2525
6324,53313,12,20.92,998.0,67.1,3.2525
6375,54000,11,20.51,998.0,67.04,3.2525
6394,51200,11,15.1,1196.0,73.0,3.2525
6588,54841,11,22.5,998.0,67.04,3.2525
6823,54486,15,19.7,796.0,46.3,3.2525
6968,54000,14,15.0,1586.0,104.68,3.2525
7085,53556,10,20.4,1197.0,81.8,3.2525
7101,50215,14,18.9,998.0,67.1,3.2525
